"ID","title","gpl","status","submission_date","last_update_date","technology","distribution","organism","manufacturer","manufacture_protocol","coating","catalog_number","support","description","web_link","contact","data_row_count","supplementary_file","bioc_package"
54,"[Mu19KsubC] Affymetrix Murine 19K SubC Array","GPL79","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 21146 entries and was indexed 29-Jan-2002.;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=mu19k;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",7047,NA,"mu19ksubc"
55,"[Hu6800] Affymetrix Human Full Length HuGeneFL Array","GPL80","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 7129 entries and was indexed 29-Jan-2002.;	Probes represent approximately 5,000 full-length human sequences.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=hugenefl;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",7129,NA,"hu6800"
56,"[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array","GPL81","Public on Mar 11 2002","2002-02-19","2012-10-05","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site;	;	The MG-U74 set includes 3 arrays with a total of 36899 entries and was indexed 29-Jan-2002.;	The set represents ~36,000 full length genes and EST clusters derived from sequence clusters in Build 74 of the Mouse Unigene Database.;	MG-U74A represents all sequences (~6,000) in the Mouse UniGene database (Build 74) that have been functionally characterized, as well as ~6,000 EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 07, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12488,NA,"mgu74av2"
57,"[MG_U74Bv2] Affymetrix Murine Genome U74B Version 2 Array","GPL82","Public on Mar 11 2002","2002-02-19","2012-10-05","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site;	;	The MG-U74 set includes 3 arrays with a total of 36899 entries and was indexed 29-Jan-2002.;	The set represents ~36,000 full length genes and EST clusters derived from sequence clusters in Build 74 of the Mouse Unigene Database.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12477,NA,"mgu74bv2"
58,"[MG_U74Cv2] Affymetrix Murine Genome U74 Version 2 Array","GPL83","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Mus musculus","Affymetrix","see manufacturer's web site;	;	The MG-U74 set includes 3 arrays with a total of 36899 entries and was indexed 29-Jan-2002.;	The set represents ~36,000 full length genes and EST clusters derived from sequence clusters in Build 74 of the Mouse Unigene Database.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=mgu74;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",11934,NA,"mgu74cv2"
60,"[RG_U34A] Affymetrix Rat Genome U34 Array","GPL85","Public on Mar 11 2002","2002-02-19","2012-06-08","in situ oligonucleotide","commercial","Rattus norvegicus","Affymetrix","see manufacturer's web site;	;	The RG-U34 set includes 3 arrays with a total of 26379 entries and was indexed 29-Jan-2002.;	The set includes ~7,000 known genes and >17,000 EST clusters.;	The A array contains probes derived from all full-length or annotated genes as well as thousands of EST clusters.;	The B and C arrays contain only EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 08, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",8799,NA,"rgu34a"
61,"[RG_U34B] Affymetrix Rat Genome U34 Array","GPL86","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Rattus norvegicus","Affymetrix","see manufacturer's web site;	;	The RG-U34 set includes 3 arrays with a total of 26379 entries and was indexed 29-Jan-2002.;	The set includes ~7,000 known genes and >17,000 EST clusters.;	The A array contains probes derived from all full-length or annotated genes as well as thousands of EST clusters.;	The B and C arrays contain only EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",8791,NA,"rgu34b"
62,"[RG_U34C] Affymetrix Rat Genome U34 Array","GPL87","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Rattus norvegicus","Affymetrix","see manufacturer's web site;	;	The RG-U34 set includes 3 arrays with a total of 26379 entries and was indexed 29-Jan-2002.;	The set includes ~7,000 known genes and >17,000 EST clusters.;	The A array contains probes derived from all full-length or annotated genes as well as thousands of EST clusters.;	The B and C arrays contain only EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=rgu34;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",8789,NA,"rgu34c"
63,"[RN_U34] Affymetrix Rat Neurobiology U34 Array","GPL88","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Rattus norvegicus","Affymetrix","see manufacturer's web site;	;	Has 1322 entries and was indexed 29-Jan-2002.;	Sequences were selected based on their known relevance to the field of neurobiology.;	Contains probes for >1,200 mRNA sequences selected from Build 34 of the UniGene database.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=rnu34;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",1322,NA,"rnu34"
64,"[RT_U34] Affymetrix Rat Toxicology U34 Array","GPL89","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Rattus norvegicus","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	Has 1031 entries and was indexed 29-Jan-2002;	Contains a relevant set of toxicology genes selected from published scientific literature and in collaboration with pharmaceutical toxicologists.;	Includes probes for >850 genes and EST clusters selected from Build 34 of the UniGene database.;	Specific full-length sequences were selected based on their known relevance to a toxic or stress-related response.  EST clusters were selected basedon their homology to these known genes. UniGene clusters are analyzed by an exemplar sequence that is the most complete and most 3' sequence in the cluster.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=rtu34;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",1031,NA,"rtu34"
65,"[YG_S98] Affymetrix Yeast Genome S98 Array","GPL90","Public on Mar 11 2002","2002-02-19","2012-06-08","in situ oligonucleotide","commercial","Saccharomyces cerevisiae","Affymetrix","see manufacturer's web site;	;	Has 9335 entries and was indexed 29-Jan-2002.;	Contains probes for all known 6,400 yeast genes, and candidate open reading frames.  Based primarily upon the December 1998 version of the Saccharomyces Genome Database (SGD).;	Corresponds to strain S288C.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 08, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=yeast;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",9335,NA,"ygs98"
66,"[HG_U95A] Affymetrix Human Genome U95A Array","GPL91","Public on Mar 11 2002","2002-02-19","2010-12-15","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	The Human Genome U95 (HG-U95) Set, consisting of five GeneChip arrays, contains almost 63,000 probe sets interrogating approximately 54,000 clusters derived from the UniGene database (Build 95).;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12626,NA,"hgu95av2"
67,"[HG_U95B] Affymetrix Human Genome U95B Array","GPL92","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site;	;	The Human Genome U95 (HG-U95) Set, consisting of five GeneChip arrays, contains almost 63,000 probe sets interrogating approximately 54,000 clusters derived from the UniGene database (Build 95).;	Based on this build and associated annotations, the HG-U95Av2 Array represents approximately 10,000 full-length genes, while arrays B through E represent approximately 50,000 EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12620,NA,"hgu95b"
68,"[HG_U95C] Affymetrix Human Genome U95C Array","GPL93","Public on Mar 11 2002","2002-02-19","2012-06-21","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site;	;	The Human Genome U95 (HG-U95) Set, consisting of five GeneChip arrays, contains almost 63,000 probe sets interrogating approximately 54,000 clusters derived from the UniGene database (Build 95).;	Based on this build and associated annotations, the HG-U95Av2 Array represents approximately 10,000 full-length genes, while arrays B through E represent approximately 50,000 EST clusters.;	",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	June 03, 2009: annotation table updated with netaffx build 28;	June 21, 2012: annotation table updated with netaffx build 32","http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12646,NA,"hgu95c"
69,"[HG_U95D] Affymetrix Human Genome U95D Array","GPL94","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	The Human Genome U95 (HG-U95) Set, consisting of five GeneChip arrays, contains almost 63,000 probe sets interrogating approximately 54,000 clusters derived from the UniGene database (Build 95).;	Based on this build and associated annotations, the HG-U95Av2 Array represents approximately 10,000 full-length genes, while arrays B through E represent approximately 50,000 EST clusters.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12644,NA,"hgu95d"
70,"[HG_U95E] Affymetrix Human Genome U95E Array","GPL95","Public on Mar 11 2002","2002-02-19","2009-06-03","in situ oligonucleotide","commercial","Homo sapiens","Affymetrix","see manufacturer's web site",NA,NA,NA,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html;	;	The Human Genome U95 (HG-U95) Set, consisting of five GeneChip arrays, contains almost 63,000 probe sets interrogating approximately 54,000 clusters derived from the UniGene database (Build 95).;	Based on this build and associated annotations, the HG-U95Av2 Array represents approximately 10,000 full-length genes, while arrays B through E represent approximately 50,000 EST clusters.;	;	Keywords = high density oligonucleotide array","http://www.affymetrix.com/support/technical/byproduct.affx?product=hgu95;	http://www.affymetrix.com/analysis/index.affx","Name:   Affymetrix, Inc.;	Email: geo@ncbi.nlm.nih.gov, support@affymetrix.com;	Phone: 888-362-2447;	Institute: Affymetrix, Inc.;	Address:  ;	City: Santa Clara;	State: CA;	Zip/postal_code: 95051;	Country: USA;	Web_link: http://www.affymetrix.com/index.affx",12639,NA,"hgu95e"
