ID_REF,GSM674702,GSM674703,GSM674704,GSM674705,GSM674706,GSM674707,GSM674708,GSM674709,GSM674710,GSM674711
cg00034039,0.066272,0.2891665,0.05761139,0.07581026,0.07810613,0.07423303,0.07343043,0.04828129,0.06943788,0.07810931
cg00035347,0.5457903,0.4806782,0.4965647,0.4428474,0.4143684,0.5883754,0.7087802,0.3289931,0.4998041,0.6204199
cg00035623,0.09802619,0.07982074,0.08603826,0.08483806,0.06800317,0.06365777,0.2432874,0.05363806,0.08052102,0.07153232
cg00037763,0.8615527,0.8840782,0.8416227,0.9329712,0.8988203,0.8655621,0.9035365,0.8641401,0.9256024,0.8997719
cg00037940,0.8126588,0.8574135,0.7850788,0.832343,0.8471552,0.7856146,0.7649156,0.7687861,0.8859763,0.8509922
cg00040861,0.03137915,0.03970278,0.03948189,0.0532945,0.03688449,0.04100927,0.03098635,0.04948021,0.03024163,0.04621527
cg00040873,0.06698041,0.3730084,0.09413338,0.155792,0.1620141,0.122909,0.07396235,0.08323257,0.1221186,0.09845849
cg00041575,0.5408977,0.5172684,0.1388451,0.5427481,0.5975775,0.4325884,0.5317089,0.6287932,0.6596803,0.5686247
cg00042156,0.6614549,0.3235381,0.8799278,0.4133766,0.2703038,0.797745,0.4891573,0.3477114,0.6066711,0.3117192
cg00043004,0.06197075,0.06434817,0.03080976,0.04054463,0.05168751,0.0645036,0.03490638,0.02384218,0.09655314,0.04151461
cg00043080,0.7439327,0.8116361,0.7811764,0.722748,0.8256302,0.7653488,0.8534451,0.689284,0.8615869,0.7916943
cg00044245,0.181141,0.07807437,0.06805202,0.0967663,0.104005,0.04899697,0.06697143,0.06338287,0.05936324,0.079354
cg00044729,0.4713914,0.3080287,0.2940905,0.4464739,0.3822854,0.5459098,0.2335314,0.37,0.5092419,0.3147974
cg00047050,0.05827703,0.056254,0.063805,0.07218327,0.04410058,0.05579961,0.05563969,0.08093324,0.05250053,0.04845188
cg00047469,0.0417308,0.03946218,0.03659318,0.04118745,0.07061964,0.04007433,0.04014696,0.02701443,0.0410523,0.05150507
cg00049986,0.302781,0.1772552,0.2925602,0.2427211,0.1773396,0.233799,0.2161362,0.223309,0.1892349,0.1347338
cg00050312,0.03172258,0.0314878,0.03392375,0.03174242,0.03503233,0.04024532,0.03257786,0.04767244,0.03314071,0.07186743
cg00051623,0.6016315,0.7501346,0.6636364,0.564605,0.791342,0.7046115,0.769074,0.5881834,0.8230069,0.857704
cg00051979,0.04866412,0.0743814,0.06866688,0.05930998,0.0543691,0.06644679,0.05768471,0.07448598,0.05644359,0.05766094
cg00053292,0.04694411,0.04984777,0.04442105,0.06887776,0.07270551,0.0477521,0.04279326,0.04335737,0.0560427,0.04959314
cg00053647,0.06962818,0.08973715,0.09075043,0.06841841,0.1235282,0.07918767,0.08577137,0.05481552,0.06972139,0.08234132
cg00054706,0.04807246,0.05147108,0.06685536,0.06122449,0.04076122,0.06451868,0.04302221,0.05499235,0.03984875,0.03894962
cg00055233,0.8176343,0.6483962,0.3758882,0.4627732,0.5947628,0.8748424,0.5657727,0.4880497,0.5692225,0.5669923
cg00056767,0.06592491,0.08519963,0.05402718,0.05691323,0.0508305,0.05559102,0.05023521,0.05237808,0.05905044,0.05253189
cg00057593,0.2427864,0.4366577,0.2014906,0.350896,0.269297,0.6801383,0.403221,0.5094488,0.2259275,0.545491
cg00058938,0.5612226,0.3245755,0.6889709,0.2300481,0.3606538,0.5201045,0.2934693,0.04887028,0.3037627,0.4147142
cg00059225,0.4843819,0.4324472,0.7939224,0.3707269,0.4520233,0.5087581,0.5268292,0.3564201,0.494866,0.371125
cg00059424,0.04875622,0.03162651,0.07554694,0.0596876,0.05172173,0.04633547,0.03691571,0.0615357,0.03525059,0.04096953
cg00059740,0.02110963,0.04518594,0.0507889,0.07190554,0.05102411,0.04968996,0.036136,0.02876125,0.04538205,0.0522417
cg00059930,0.9443196,0.7074742,0.6665887,0.7458576,0.7223675,0.9542605,0.9241811,0.9627566,0.8517985,0.895673
cg00060762,0.03005835,0.03330927,0.03934554,0.04109503,0.02763151,0.04410974,0.0369292,0.04491726,0.03523761,0.03156784
cg00060882,0.1309104,0.1978592,0.2290664,0.1488428,0.160651,0.152691,0.1982926,0.1730822,0.1437363,0.2017989
cg00061059,0.1791703,0.1237369,0.1736573,0.1253848,0.1317073,0.1570705,0.1145683,0.2121212,0.1333839,0.101629
cg00061629,0.2691601,0.851433,0.4807678,0.08810348,0.8287165,0.3701683,0.107955,0.1260684,0.6017508,0.1480435
cg00062776,0.9705882,0.9676222,0.961421,0.9585462,0.9452211,0.9694107,0.9681735,0.9578923,0.9669308,0.9645604
cg00063144,0.5613276,0.7233323,0.7277085,0.7381477,0.7499356,0.7606269,0.800485,0.7192381,0.8301198,0.7849333
cg00065385,0.6710476,0.7137237,0.7005433,0.75904,0.8696059,0.8257169,0.8374916,0.6830169,0.8912017,0.8860312
cg00065408,0.03729228,0.05324588,0.04882212,0.0432968,0.05684528,0.05524329,0.05225787,0.0333296,0.0566554,0.05326654
cg00066153,0.8333333,0.8769932,0.7890411,0.7896205,0.889237,-3.40E+38,0.8879199,0.7432358,0.902439,0.9060846
cg00066816,0.1619008,0.09797246,0.1196802,0.2537545,0.1066727,0.4948372,0.1140538,0.138513,0.09965984,0.1405953
cg00067471,0.2017165,0.2388581,0.4491407,0.315902,0.08719157,0.07009461,0.1026849,0.1031818,0.2758249,0.2526236
cg00069261,0.04620429,0.06258247,0.0858347,0.06742749,0.04605585,0.04422586,0.05190947,0.05933618,0.04479381,0.05037083
cg00071250,0.5525839,0.5769904,0.8610944,0.4705039,0.622856,0.4377061,0.8490008,0.5280284,0.79628,0.6470505
cg00071998,0.07348167,0.08220334,0.08058316,0.09979694,0.08285786,0.06481855,0.06987752,0.07087582,0.0594828,0.07277489
cg00072216,0.01937103,0.1155575,0.0261653,0.03640201,0.02848863,0.02920894,0.03400457,0.03335958,0.02369456,0.03719474
cg00073650,0.5217513,0.5937528,0.6696455,0.668146,0.6115338,0.7853464,0.8068442,0.5736154,0.6326932,0.7019739
cg00075967,0.8627748,0.775178,0.8897904,0.8336058,0.8715249,0.8942342,0.8521572,0.5854285,0.9124826,0.8385842
cg00076645,0.0790224,0.05750627,0.1086577,0.1007307,0.05976366,0.1102972,0.05280133,0.1106368,0.05408613,0.0656086
cg00077457,0.6069711,0.6778414,0.5879917,0.5950096,0.6861333,0.6571928,0.7017497,0.5199556,0.6908086,0.7952404
cg00077877,0.619201,0.64807,0.608811,0.3927455,0.6553043,0.6270512,0.6885638,0.5360577,0.7262147,0.7313716
cg00078194,0.03571705,0.04039571,0.04794687,0.03690139,0.03424038,0.04374661,0.03640293,0.05663874,0.03964388,0.04270408
cg00078867,0.6265193,0.4392142,0.1275256,0.6036187,0.6075973,0.7593318,0.8057514,0.5938985,0.5512063,0.7043473
cg00079056,0.8342589,0.8571583,0.8572499,0.843566,0.8183616,0.860021,0.5724661,0.4852321,0.8340178,0.5078503
cg00079563,0.01597985,0.03050731,0.02978461,0.02622054,0.02632636,0.08645326,0.06845892,0.032752,0.04583177,0.03271521
cg00080012,0.01996789,0.02047558,0.02638633,0.02867585,0.02502421,0.02560637,0.02633516,0.02384096,0.02335517,0.02836309
cg00081935,0.08949587,0.07175379,0.0739645,0.09064917,0.07590632,0.07171614,0.07637706,0.08661867,0.07781289,0.07601008
cg00081975,0.03816845,0.05717696,0.03100512,0.03170047,0.06191044,0.03788675,0.03115869,0.02692588,0.02727167,0.04013789
cg00083720,0.01899447,0.02938642,0.02789623,0.02818207,0.02697842,0.02730843,0.02676872,0.02814094,0.02669607,0.03083105
cg00083937,0.3005818,0.2572979,0.1318326,0.4920317,0.5564801,0.4946342,0.4043593,0.2907251,0.4612514,0.4118991
cg00084687,0.02571358,0.03698578,0.02910194,0.04958644,0.02691997,0.02840909,0.02898649,0.03193263,0.02434292,0.03347038
cg00089071,0.02226831,0.02490655,0.02666545,0.0284465,0.02723939,0.02913025,0.02809557,0.03092399,0.02494168,0.02455717
cg00090147,0.1546842,0.07502489,0.07206872,0.08668173,0.0974383,0.1346058,0.0634819,0.03604359,0.1252877,0.08306076
cg00091693,0.3509434,0.5634993,0.4836319,0.4668956,0.5352554,0.4742857,0.5995337,0.5495495,0.5224872,0.5638997
cg00093177,0.6972449,0.7982434,0.7020979,0.7340378,0.7534122,0.7340761,0.7864649,0.7213376,0.8307996,0.6764234
cg00094319,0.485561,0.5789185,0.476651,0.4999258,0.5016668,0.6460697,0.5692585,0.6099498,0.5060158,0.5064102
cg00094851,0.1059466,0.1345499,0.1538976,0.1006436,0.1340836,0.1039283,0.1272874,0.07618684,0.1093928,0.1182032
cg00095526,0.3213927,0.6993129,0.7358842,0.3911245,0.5884593,0.494085,0.6151311,0.8387468,0.3479704,0.5151624
cg00095674,0.1318005,0.1178673,0.1665689,0.1460255,0.1363352,0.1811759,0.1429504,0.1666894,0.1607987,0.1339063
cg00096922,0.08141083,0.07638612,0.1,0.1058974,0.05467708,0.1074585,0.06806433,0.1484886,0.04372673,0.05888909
cg00097536,0.03664583,0.06735435,0.0388401,0.03115192,0.04136328,0.03722148,0.03497867,0.04371165,0.03910875,0.04058046
cg00098162,0.6076372,0.671098,0.652609,0.6273245,0.7355975,0.6518947,0.7250061,0.5773481,0.7316176,0.7584668
cg00098239,0.02494068,0.02013906,0.03070818,0.02429007,0.02511378,0.02469514,0.02629402,0.01849854,0.01896715,0.0254442
cg00099550,0.07007906,0.05184178,0.04929217,0.05479701,0.04806302,0.04496727,0.04034675,0.04270978,0.04816279,0.05159299
cg00101227,0.6330035,0.7780394,0.7717063,0.6784629,0.6902415,0.5375102,0.5423051,0.712558,0.8225965,0.6587943
cg00103783,0.03216912,0.02493856,0.03120592,0.03106178,0.02656441,0.03046431,0.02270024,0.02376997,0.02541541,0.02951289
cg00105253,0.05171435,0.05563015,0.05454308,0.05837905,0.1173594,0.05817448,0.05614087,0.03269801,0.06382979,0.07477533
cg00105470,0.04878864,0.04494316,0.04333333,0.04544535,0.04430065,0.0419272,0.03674376,0.04590342,0.04469831,0.03871483
cg00107187,0.1872193,0.2253518,0.2422931,0.3665909,0.2426663,0.1293108,0.2243735,0.247301,0.1559383,0.1984223
cg00107488,0.2892,0.270699,0.3201954,0.3504801,0.2917755,0.287234,0.2868649,0.2882051,0.2701399,0.255006
cg00107632,0.03286844,0.03680194,0.0979775,0.03443375,0.03859095,0.0368606,0.03315596,0.0291037,0.03484614,0.04888358
cg00108454,0.4191093,0.4640248,0.3426243,0.4365111,0.3694237,0.5458435,0.525827,0.3925021,0.4688661,0.4445511
cg00109274,0.03015334,0.05731678,0.0578141,0.02674519,0.05401025,0.08467847,0.07754114,0.02890272,0.02480142,0.07076745
cg00112517,0.05221218,0.1093602,0.08511271,0.05400752,0.1127955,0.04118745,0.06495399,0.05731545,0.05301751,0.2533696
cg00113020,0.5074449,0.6366677,0.4268041,0.5977681,0.7147257,0.627451,0.7348993,0.5578424,0.7465995,0.7634069
cg00113951,0.1405672,0.1480797,0.1442505,0.1488224,0.1631501,0.135355,0.1364015,0.1343573,0.1510985,0.1382883
cg00115714,0.06280129,0.06724459,0.09006067,0.06864295,0.06267159,0.06761668,0.05180447,0.07735191,0.06138666,0.06090808
cg00116234,0.2315641,0.148694,0.2509789,0.3216155,0.08961445,0.225,0.1102784,0.2421341,0.108623,0.07397261
cg00116838,0.08018155,0.2284872,0.2598466,0.09817737,0.1108643,0.07533162,0.2701052,0.1043686,0.09708913,0.07243112
cg00117172,0.3576482,0.05244521,0.1881649,0.09154035,0.1416066,0.0979665,0.1430197,0.08394483,0.23855,0.1223461
cg00119079,0.07756133,0.09841192,0.05477295,0.06994272,0.07166838,0.0683573,0.05678637,0.05835962,0.04918607,0.06836442
cg00121158,0.03403896,0.03428735,0.03149791,0.03466607,0.03289547,0.0331026,0.03501259,0.02682104,0.03465051,0.03915338
cg00121640,0.09596684,0.1083446,0.117716,0.1099378,0.1097669,0.107531,0.1007117,0.06905307,0.09892634,0.1105511
cg00121904,0.1221284,0.1175279,0.1518921,0.128013,0.1103283,0.08607122,0.08406478,0.145489,0.1452845,0.1171732
cg00123035,0.1081387,0.08626895,0.1148585,0.104272,0.06657927,0.08291055,0.06274227,0.1302611,0.06145824,0.06172333
cg00126034,0.04196871,0.05465299,0.0481785,0.04670339,0.05543854,0.05507152,0.05283325,0.03215664,0.05298173,0.05030331
cg00126657,0.1964356,0.3418337,0.2877598,0.3176245,0.3568738,0.2842341,0.3606865,0.3436795,0.2460092,0.3815231
cg00126698,0.4069698,0.5988015,0.2171655,0.5336508,0.4393142,0.4954498,0.5885941,0.3370107,0.6149548,0.5617253
cg00128197,0.07686966,0.03920577,0.0559499,0.1278392,0.03849298,0.1056711,0.04521358,0.05558793,0.4254161,0.04341765
cg00128560,0.5484375,0.7198132,0.5650852,0.5472541,0.7873276,0.7395306,0.7059706,0.5897903,0.7613736,0.8457151
cg00128654,0.03893715,0.04485392,0.05066688,0.04641183,0.03384243,0.04172107,0.04669697,0.0516277,0.03186218,0.03879291
cg00128766,0.1959391,0.1139896,0.1526022,0.2050758,0.1204277,0.1576962,0.1390276,0.2471416,0.1284846,0.1046623
cg00128877,0.07441259,0.1082859,0.08416006,0.09386021,0.1190038,0.1069951,0.108877,0.09743796,0.1005862,0.1197252
cg00129774,0.06585071,0.04492057,0.05725458,0.05726268,0.046861,0.04746509,0.05312172,0.06550488,0.04457569,0.0461308
cg00131121,0.0356113,0.04659536,0.03090441,0.03663494,0.03956291,0.04114193,0.04200191,0.02859595,0.03578947,0.04085552
cg00131557,0.7014524,0.8023628,0.72582,0.724649,0.8129078,0.716852,0.834382,0.6587334,0.8369671,0.8507017
cg00132141,0.3481953,0.3777004,0.375641,0.3672212,0.3060993,0.4247001,0.3731551,0.3214863,0.4336478,0.2261679
cg00133909,0.04770437,0.06554092,0.05497216,0.1028965,0.07045755,0.06849051,0.06577167,0.05553436,0.05985571,0.05510877
cg00134539,0.6717157,0.7416191,0.5336927,0.7944634,0.6904499,0.8196422,0.688669,0.5561972,0.7287155,0.6276886
cg00134787,0.5747202,0.5376666,0.5642005,0.5139186,0.5886194,0.6066543,0.5320774,0.4062027,0.6217758,0.6273769
cg00135056,0.0645568,0.0997529,0.08767178,0.08883599,0.08028169,0.0720305,0.09649219,0.08388553,0.07576632,0.09090151
cg00135393,0.3027027,0.2091165,0.3576547,0.4037789,0.2789281,0.3449001,0.3166376,0.3658537,0.2369432,0.2278545
cg00136105,0.04102047,0.03497675,0.05641059,0.0434406,0.04259743,0.04795607,0.04044153,0.03895285,0.03265075,0.03535413
cg00136405,0.363472,0.3243744,0.3835498,0.3838685,0.3619134,0.4268798,0.3506552,0.4305443,0.3707817,0.2805486
cg00136477,0.5764722,0.6605384,0.2781288,0.632196,0.64172,0.6668288,0.7608089,0.6746479,0.7816696,0.6806219
cg00136736,0.06746988,0.06036798,0.08150611,0.07609489,0.06346534,0.08104274,0.0684695,0.0997641,0.05900162,0.04665343
cg00138126,0.7977269,0.7600148,0.8938792,0.7227657,0.6698256,0.860797,0.7609124,0.8264751,0.5505671,0.5567347
cg00141162,0.6714127,0.7602856,0.8229665,0.6250805,0.8190178,0.363747,0.5423674,0.6896343,0.7024455,0.724188
cg00141550,0.4321383,0.4537354,0.4605735,0.4742181,0.5205892,0.5311615,0.4359511,0.5229961,0.5753599,0.5339506
cg00141845,0.2955524,0.2060737,0.3164962,0.2795508,0.1960935,0.1609102,0.2113012,0.2767857,0.1967758,0.1627959
cg00143376,0.5128016,0.3792318,0.8388528,0.3757134,0.5129447,0.9062288,0.4226275,0.5418615,0.4416881,0.5114586
cg00143998,0.06127704,0.06514658,0.1209958,0.1004574,0.05937969,0.08327502,0.08015306,0.1043037,0.04997496,0.0672546
cg00145118,0.1324549,0.3841172,0.1107859,0.1090713,0.08864596,0.1085915,0.1673456,0.1738111,0.05796301,0.08520152
cg00145348,0.4607864,0.0588383,0.08283427,0.3651699,0.0688351,0.5864707,0.06355806,0.04834424,0.4104972,0.06684537
cg00146096,0.02656438,0.03708925,0.04134635,0.03847728,0.02635969,0.034357,0.03057272,0.04409689,0.03329113,0.0373071
cg00149659,0.04490461,0.06407054,0.08262046,0.05476378,0.03925107,0.04085355,0.03595492,0.07653974,0.03722721,0.04413652
cg00149976,0.03986264,0.04941773,0.04027839,0.03908915,0.0467142,0.04375708,0.04290286,0.02767392,0.04077597,0.04960112
cg00151234,0.4534277,0.08547108,0.1315948,0.2558314,0.08135507,0.5790436,0.09190732,0.1139217,0.4998036,0.07846324
cg00151607,0.02676742,0.03368183,0.02899522,0.0331879,0.03906275,0.03314653,0.03120116,0.02775212,0.03623512,0.03798603
cg00152644,0.3431161,0.4582949,0.4072486,0.5667842,0.5587094,0.5001483,0.6500317,0.4503425,0.6379419,0.5364503
cg00155167,0.09452736,0.07121551,0.121122,0.135768,0.060398,0.1118044,0.07096705,0.1061215,0.06458658,0.05379006
cg00155485,0.1157941,0.07509178,0.08060323,0.0956059,0.06238511,0.08876973,0.08916797,0.100132,0.06584086,0.06151103
cg00155609,0.03210383,0.04590634,0.04062397,0.03946692,0.03739284,0.04128609,0.03896752,0.03472443,0.03799571,0.1166162
cg00156216,0.03809613,0.04880873,0.04185513,0.05550553,0.03704187,0.03211786,0.03418998,0.04551724,0.03596491,0.03670802
cg00156744,0.03636875,0.05928726,0.04692093,0.0598035,0.03614664,0.04339521,0.04402675,0.03766139,0.04828864,0.04
cg00158308,0.03293255,0.05423819,0.03608389,0.03514908,0.04272139,0.05354657,0.04500864,0.03635541,0.0363424,0.06026613
cg00160914,0.1815498,0.2246251,0.1627446,0.2239844,0.171819,0.1603037,0.1644766,0.2136554,0.1294709,0.2581294
cg00162401,0.02396892,0.04163445,0.03863307,0.03232633,0.03937215,0.02775465,0.03312404,0.03517784,0.03728968,0.03426823
cg00162643,0.08524027,0.05256815,0.06067712,0.08802045,0.04570369,0.07229072,0.0596885,0.07993049,0.05546344,0.03282051
cg00164041,0.02904656,0.03369265,0.03681553,0.04224833,0.0302581,0.03763672,0.04074575,0.03915814,0.03815325,0.0364253
cg00164898,0.05403922,0.04736177,0.05631914,0.03900415,0.06432095,0.04979271,0.04551151,0.04450895,0.03920084,0.06517956
cg00165981,0.1229415,0.09098081,0.1113617,0.1473577,0.08017715,0.1275848,0.1020355,0.2118261,0.08336984,0.07401185
cg00167504,0.04221954,0.04079124,0.03790947,0.04526749,0.04149213,0.03654084,0.04227683,0.02424052,0.04862877,0.0474675
cg00168082,0.08058463,0.0712022,0.09942639,0.0897503,0.05708742,0.07434995,0.078125,0.1242162,0.0705228,0.05347106
cg00168785,0.0698704,0.07865583,0.04710213,0.06198347,0.04921777,0.04446616,0.06024473,0.06329634,0.05337342,0.06428543
cg00168942,0.2439372,0.7564018,0.7565807,0.3607724,0.7793692,0.7230681,0.5719174,0.4892221,0.85721,0.7011358
cg00169548,0.3696858,0.4995888,0.4542326,0.4021025,0.5588105,0.4525357,0.5424616,0.373839,0.6013011,0.371408
cg00171126,0.06048746,0.05997236,0.08290308,0.09480168,0.04613936,0.06568432,0.05954499,0.08708938,0.05340286,0.04190892
cg00171161,0.08176313,0.09401521,0.09403846,0.1087834,0.08384734,0.080805,0.09017166,0.07054583,0.07439575,0.07720952
cg00174500,0.04359141,0.06709549,0.02954333,0.1020875,0.04221891,0.02491961,0.2940063,0.03738279,0.07694956,0.08560663
cg00174901,0.03974584,0.04928579,0.0549883,0.0509759,0.04310736,0.05275922,0.04649558,0.0386768,0.04565312,0.04821308
cg00176210,0.8655016,0.669922,0.9749915,0.7690377,0.6772948,0.7332212,0.6338518,0.5421346,0.5722222,0.5476183
cg00176879,0.9615132,0.9584385,0.9674989,0.9715442,0.966644,0.9722584,0.9752179,0.9728362,0.9718656,0.9653077
cg00177013,0.08200213,0.09846573,0.09313809,0.09968079,0.1021653,0.1228811,0.099608,0.05802538,0.09796283,0.09835988
cg00177698,0.045478,0.05948341,0.06343876,0.06083251,0.05260636,0.05772331,0.06314299,0.05618077,0.06202158,0.06080217
cg00177923,0.0343723,0.03360124,0.03579913,0.03760429,0.02721283,0.02956874,0.03049335,0.03045993,0.02916709,0.03774787
cg00178790,0.103205,0.05627159,0.05484845,0.04868114,0.06112181,0.05726872,0.04872609,0.04297668,0.04818718,0.04790242
cg00179446,0.1465646,0.1241995,0.1764251,0.3103649,0.1079618,0.3908615,0.09844559,0.2100043,0.2911756,0.09425511
cg00180012,0.0527994,0.04352787,0.06729081,0.07828947,0.04576752,0.04807367,0.04827932,0.07137888,0.03855708,0.05116989
cg00180631,0.4100249,0.21215,0.2325632,0.4675436,0.2336949,0.4040312,0.528805,0.263602,0.5420827,0.6253697
cg00182461,0.2472481,0.1239631,0.2505896,0.1903759,0.1369697,0.1913043,0.1247059,0.2197197,0.1475305,0.09289074
cg00183782,0.512,0.5827402,0.5492327,0.50934,0.6665212,0.5673195,0.653012,0.4623592,0.6925158,0.7005101
cg00183916,0.02173381,0.05147669,0.05913822,0.02819359,0.03597668,0.0348627,0.03231835,0.03094226,0.03462273,0.04368949
cg00184884,0.01538046,0.01930755,0.02294826,0.02063239,0.01847407,0.02119895,0.01673615,0.01675478,0.02297947,0.02160787
cg00184893,0.0350947,0.03759624,0.04536583,0.03400439,0.03234896,0.04314975,0.03251601,0.04756113,0.0285579,0.03628469
cg00185103,0.453312,0.7083483,0.5311068,0.4870641,0.7135647,0.6006997,0.6486875,0.516129,0.5831248,0.6460633
cg00185839,0.04472394,0.05337498,0.050593,0.0616623,0.0523058,0.05350309,0.05384898,0.03927355,0.05472306,0.05866954
cg00186141,0.02610291,0.03396531,0.03971807,0.03442894,0.03917256,0.03671825,0.03530506,0.02943425,0.03217852,0.04670801
cg00186701,0.5372409,0.4167091,0.4458554,0.6028133,0.35381,0.3422336,0.2242424,0.2680731,0.2194824,0.3119359
cg00186954,0.3809172,0.5763531,0.5557565,0.4280783,0.3841871,0.5958005,0.4576397,0.4394366,0.5370232,0.4730688
cg00187380,0.03298019,0.08892891,0.03044789,0.04340387,0.03339007,0.1295628,0.0530303,0.03848979,0.03960481,0.03958917
cg00187686,0.4509122,0.481149,0.4797583,0.4298182,0.4791586,0.4543807,0.5189621,0.3854582,0.6363292,0.3401836
cg00188348,0.5266929,0.5750487,0.5024742,0.5502002,0.5495044,0.5797825,0.5378973,0.5375561,0.5561664,0.5374917
cg00191052,0.5892957,0.5955912,0.3641493,0.5615351,0.6595331,0.6813074,0.4092192,0.3886349,0.6524457,0.5719026
cg00194146,0.1536937,0.06443804,0.04130217,0.04905632,0.1402321,0.04870788,0.03772942,0.04659526,0.03229323,0.04574831
